file,name,wins,losses,games,win_rate,terminal,colors,total_cards,draft_id,build_index
6wins_9games_3losses_wr67_id006036.dck,6wins_9games_3losses_wr67_id006036,6,3,9,66.67,eliminated,WBR,40,e7b9270353d2423c964f7b8090b787b9,0
2wins_5games_3losses_wr40_id122936.dck,2wins_5games_3losses_wr40_id122936,2,3,5,40.00,eliminated,WB,40,f912398a800b4869a3808a30280327a5,0
5wins_8games_3losses_wr62_id032135.dck,5wins_8games_3losses_wr62_id032135,5,3,8,62.50,eliminated,UG,40,26d25fd8735249829091cdb4b059ac3a,0
6wins_9games_3losses_wr67_id018623.dck,6wins_9games_3losses_wr67_id018623,6,3,9,66.67,eliminated,WR,41,e8eebbee72f64de6aeda257ad9f9fb9a,0
3wins_6games_3losses_wr50_id019763.dck,3wins_6games_3losses_wr50_id019763,3,3,6,50.00,eliminated,UR,40,6250b9da653845a7924b18283708e408,0
3wins_6games_3losses_wr50_id124608.dck,3wins_6games_3losses_wr50_id124608,3,3,6,50.00,eliminated,WB,40,2654728e562c467fb037c505453dc6ad,0
3wins_6games_3losses_wr50_id037179.dck,3wins_6games_3losses_wr50_id037179,3,3,6,50.00,eliminated,UR,40,0af44115fa0845b4bbdafdcea1cbcc13,0
3wins_6games_3losses_wr50_id001663.dck,3wins_6games_3losses_wr50_id001663,3,3,6,50.00,eliminated,WB,43,51e0438eeafd4e1ab2cd79587d2ed355,0
5wins_8games_3losses_wr62_id014080.dck,5wins_8games_3losses_wr62_id014080,5,3,8,62.50,eliminated,WB,40,a850a41c2af64beb8bc1c2c416a34920,0
0wins_3games_3losses_wr0_id093403.dck,0wins_3games_3losses_wr0_id093403,0,3,3,0.00,eliminated,BG,40,10c85da4db3048838e58339d36aa38d3,0
4wins_7games_3losses_wr57_id053342.dck,4wins_7games_3losses_wr57_id053342,4,3,7,57.14,eliminated,URG,40,2f73b6debb8b4cbc9ef0a2dc6a902097,0
4wins_7games_3losses_wr57_id083403.dck,4wins_7games_3losses_wr57_id083403,4,3,7,57.14,eliminated,WBR,40,af3668e5e9f7499fb0424915be402404,0
7wins_9games_2losses_wr78_id032698.dck,7wins_9games_2losses_wr78_id032698,7,2,9,77.78,trophy,BG,40,cae616cd2aef41768d66a91f974d248f,0
0wins_3games_3losses_wr0_id102372.dck,0wins_3games_3losses_wr0_id102372,0,3,3,0.00,eliminated,WB,40,1c385122bd184eeabbbb382b5b811aa6,0
2wins_5games_3losses_wr40_id011371.dck,2wins_5games_3losses_wr40_id011371,2,3,5,40.00,eliminated,UG,40,5afe4247f7fc49a0a07043518fce8a3e,0
0wins_3games_3losses_wr0_id052002.dck,0wins_3games_3losses_wr0_id052002,0,3,3,0.00,eliminated,UG,40,4beee76c461940a9bad237687a8a58bb,0
4wins_7games_3losses_wr57_id091076.dck,4wins_7games_3losses_wr57_id091076,4,3,7,57.14,eliminated,URG,40,6cb59bc278b94ba78db04d77e4830d75,0
0wins_3games_3losses_wr0_id016355.dck,0wins_3games_3losses_wr0_id016355,0,3,3,0.00,eliminated,UR,40,7c7d067aacc54c56b87f60bdc4c5847a,0
1wins_4games_3losses_wr25_id073832.dck,1wins_4games_3losses_wr25_id073832,1,3,4,25.00,eliminated,BG,40,d1fb9c87cb3a4af29f3b83f78c1cf0e2,0
5wins_8games_3losses_wr62_id086425.dck,5wins_8games_3losses_wr62_id086425,5,3,8,62.50,eliminated,URG,40,7ec546645e94499980cde16bf070a343,0
3wins_6games_3losses_wr50_id080808.dck,3wins_6games_3losses_wr50_id080808,3,3,6,50.00,eliminated,WB,40,d0a43ae217b94c629c0ece25ab479ef1,1
2wins_5games_3losses_wr40_id116794.dck,2wins_5games_3losses_wr40_id116794,2,3,5,40.00,eliminated,WR,40,79d3c5b4b0724e3a95b4ec553a49e9cb,0
3wins_6games_3losses_wr50_id119094.dck,3wins_6games_3losses_wr50_id119094,3,3,6,50.00,eliminated,WB,40,082b2d4e3d754d8d9218a0ce2977c1e1,0
4wins_7games_3losses_wr57_id096723.dck,4wins_7games_3losses_wr57_id096723,4,3,7,57.14,eliminated,UG,40,357b77fa36b04bcba22dc19c7b911964,0
4wins_7games_3losses_wr57_id021466.dck,4wins_7games_3losses_wr57_id021466,4,3,7,57.14,eliminated,WB,40,27abc06473c1456aa388b4c0202954a0,0
